clade,animal,species,care,breedsystem,coop,WPPind,EPPind,WPP,EPP,EPPN,EPPbrN,WGPind,EGPind,WGP,EGP,EGPN,EGPbrN,perEGPbr,latitude,longitude,MeanP,VarP,Pp,MeanT,VarT,Pt,NPP.mean,NPP.var,NPP.P,MGS_duration,MeanP_MGS,VarP_MGS,InterYearVarP_MGS,MeanT_MGS,VarT_MGS,InterYearVarT_MGS,NPP_MGS.mean,NPP_MGS.var,InterYearVar.NPP_MGS,COOP2,transEGP,sdT,SQPt,SQMeanP,sdP,code,ZperEGPbr,Zlatitude,Zlongitude,ZMeanT,ZVarT,ZPt,ZMeanP,ZVarP,ZPp,ZtransEGP,ZsdT,ZSQPt,ZSQMeanP,ZsdP,EGPclass,PC1,PC2,PC3,ZPC1,ZPC2,ZPC3,PC1class,PC2class,PC3class,PC1EGP,TMPavg,TMPsd,TMPmed,TMPcv,TMPprd_Ent,TMPprd_Fix,TMPprd_Dym,PREavg,PREsd,PREmed,PREcv,PREprd_Ent,PREprd_Fix,PREprd_Dym,DTRavg,DTRsd,DTRmed,DTRcv,DTRprd_Ent,DTRprd_Dym,NPPavg,NPPsd,NPPmed,NPPcv,NPPprd_Ent,NPPprd_Dym
NON-PASSERIFORMES,Accipiter_gentilis,Accipiter_gentilis,Male_Female,Pair,Noncooperative,120,2,62,2,122,64,120,2,62,2,122,64,3.125,36.58,-112.17,27.92217125,386.6896414,0.50324624,9.750917431,69.28362663,0.533119002,0.850582982,0.533905104,0.767748939,12,28.36055046,431.7091437,85.57434496,13.13455657,44.85495413,0.81728244,0.850582982,0.533905104,0.015478297,0,0.177710600845112,8.32367867171721,0.730149985961788,5.28414337901613,19.6644257836327,animal.Accipiter_gentilis,-0.834547999050079,0.314986325763234,-1.11989398024509,-0.154189519120922,0.307736915439225,-0.515390549256149,-0.895212121941374,-0.556098202229292,-0.825927335877997,-0.744463969549071,0.539032610855763,-0.503948786074783,-1.1024288109769,-0.818805912579847,0,-8.51607065824043,1.28473711653143,-4.51286893164246,-0.497639626063415,0.0401086812877143,-0.96480731949353,0,1,0,-0.246824343485656,8.964,7.848,8.55,0.875,0.865,0.617,0.514,30.685,25.179,24.65,0.821,0.125,0.295,0.512,16.613,2.219,16.8,0.134,0.484,0.27,1.66e-08,1.54e-08,1.16e-08,0.928,0.468,0.33
NON-PASSERIFORMES,Actitis_hypoleucos,Actitis_hypoleucos,Male_Female,Pair,Noncooperative,119,17,34,8,136,42,119,17,34,8,136,42,19.047619047619,57.47,12.19,58.20298165,1012.836214,0.576158605,7.421024465,46.93913331,0.523424033,1.993640223,4.38328922,0.678166889,10,65.19330275,1348.975153,130.4255334,8.670183486,40.006737,0.52184441,2.398394919,4.261647102,0.018705333,0,0.451633441079532,6.85121400264216,0.723480499391656,7.62908786487611,31.8250878082057,animal.Actitis_hypoleucos,-0.125633305233732,0.918420199157737,0.330169606228926,-0.431207314336081,-0.132003672520348,-0.636586580117224,-0.359965291689653,-0.469442774464658,-0.206377498292947,0.11548630156809,0.119691107420393,-0.633420529668372,-0.273306411476058,-0.517624369485115,1,-7.82857005620816,1.15584114953892,-2.28904083192654,-0.398561753122729,-0.000826833882537846,-0.37330702707582,0,1,0,0.514048054690819,7.609,6.633,7.2,0.872,0.832,0.599,0.458,66.421,35.037,60.8,0.527,0.181,0.447,0.291,6.961,2.018,7,0.29,0.715,0.343,3.25e-08,2.89e-08,2.74e-08,0.889,0.756,0.564
NON-PASSERIFORMES,Actitis_macularius,Actitis_macularius,Male_only,Polyandry,Noncooperative,99,12,27,7,111,34,99,12,27,7,111,34,20.5882352941176,47.15,-94.38,52.96047401,2149.09568,0.580674266,4.415366972,162.2895017,0.475913763,1.700257425,4.011283403,0.666053231,9,79.64097859,2017.562398,297.7911344,14.9206422,26.41876758,0.675961415,2.27074501,4.032849143,0.072452708,0,0.470960700649922,12.7392896858498,0.689865032452001,7.2773947268236,46.3583399185087,animal.Actitis_macularius,-0.0570412293064774,0.620314044374047,-0.912458862816879,-0.788571632797559,2.13809653027861,-1.23050865961412,-0.452632415185147,-0.312190376405545,-0.168007092407208,0.176162081993284,1.79654934462927,-1.28598247287405,-0.397657610520814,-0.157681194687477,1,-13.5035470871976,-2.34409426559928,-0.14215538953346,-1.21640053254433,-1.112356252717,0.197727832644252,0,0,1,1.39256261453761,4.426,12.16,6.25,2.747,0.865,0.543,0.515,53.58,41.997,40,0.784,0.402,0.399,0.281,12.643,1.869,12.9,0.148,0.366,0.317,3.16e-08,3.53e-08,1.35e-08,1.118,0.705,0.626
NON-PASSERIFORMES,Aegolius_funereus,Aegolius_funereus,Male_Female,Pair,Noncooperative,109,0,32,0,109,32,109,0,32,0,109,32,0,39,-107.94,24.88126911,130.8595142,0.611050021,7.468501529,86.71746316,0.536537042,1.042512116,1.400734515,0.761334493,11,30.04587156,238.485107,71.65826726,11.38562691,11.21648318,0.74181825,1.137547495,1.420053087,0.018276247,0,0,9.31222117220161,0.732486888619858,4.98811278040102,11.4393843453221,animal.Aegolius_funereus,-0.97368078942525,0.384891063609797,-1.0705712963372,-0.42556242344002,0.650835566919109,-0.472661905015576,-0.948963432095896,-0.591503760732219,0.0901013104236873,-1.30236662288884,0.820558481777533,-0.458583545652279,-1.2070989222437,-1.02251444977978,0,-10.1218073787588,2.33055115823222,-1.89148288293953,-0.729047392545995,0.372244259833726,-0.267563402778221,0,1,0,-0.57331923034284,3.564,8.657,3.85,2.429,0.877,0.62,0.519,43.673,24.621,40.6,0.564,0.09,0.388,0.584,17.825,2.383,17.7,0.134,0.508,0.282,2.05e-08,2.38e-08,9.86e-09,1.163,0.64,0.518
NON-PASSERIFORMES,Alectura_lathami,Alectura_lathami,Male_only,Polygynandrous,Noncooperative,47,18,3,7,65,10,47,18,3,7,65,10,70,-27.94,153.17,101.19763,8702.296834,0.417344261,19.52102446,14.023366,0.645586612,,,,,109.1355505,9280.085218,797.0890903,18.14159021,14.18744926,0.226161903,,,,0,0.991156586431192,3.74477849812242,0.803484045890147,10.0597032759421,93.2861020409793,animal.Alectura_lathami,2.14289371497858,-1.54875486674099,1.974025865646,1.00744904011138,-0.779787386509701,0.890558034223728,0.400012692490218,0.594738566556722,-1.55585232374095,1.80925917104509,-0.764987053046848,0.919652341820244,0.586107401532679,1.00457261858916,1,1.86687655232957,0.00144706418885199,-4.58902613325734,0.998679535603912,-0.36744588097842,-0.985063834388125,1,0,0,0.810579635441179,20.025,3.586,20.5,0.179,0.85,0.725,0.418,103.664,92.256,76.85,0.89,0.176,0.31,0.294,10.542,1.707,10.4,0.162,0.413,0.244,4.25e-08,1.86e-08,3.95e-08,0.439,0.284,0.182
NON-PASSERIFORMES,Anas_platyrhynchos,Anas_platyrhynchos,Female_only,Pair,Noncooperative,431,71,58,13,502,71,431,71,58,13,502,71,18.3098591549296,49.6,-100.5,36.11949541,943.0900869,0.607545765,2.081957187,185.9371768,0.455699603,0.739665354,0.881790022,0.834912385,9,59.68862385,1008.657312,181.1369657,15.30678899,15.66522936,0.885009038,0.993741166,0.921175037,0.002589411,0,0.442168274399694,13.6358782922113,0.675055259219569,6.00994970112063,30.7097718470848,animal.Anas_platyrhynchos,-0.1584802148327,0.691085369879865,-0.983819341662336,-1.06600756801304,2.60348379162426,-1.48320425453461,-0.75031534688063,-0.479095275561455,0.0603249997025022,0.085771464187134,2.05188777281093,-1.57347794084835,-0.845799162392501,-0.545247255601825,1,-16.0584590259517,-2.23371436783689,0.377504002629603,-1.58459692349184,-1.07730117624897,0.335948355382195,0,0,1,1.67036838767898,2.252,13.104,4.5,5.818,0.859,0.529,0.511,39.204,29.714,30.4,0.758,0.343,0.4,0.268,12.304,2.221,12.15,0.181,0.391,0.288,9.91e-09,9.52e-09,7.39e-09,0.961,0.758,0.579
NON-PASSERIFORMES,Anas_strepera,Anas_strepera,Female_only,Pair,Noncooperative,250,11,21,8,261,29,250,11,21,8,261,29,27.5862068965517,48.68,-99.21,40.17882263,1038.993367,0.630231123,2.704969419,179.6434327,0.457824894,0.76635373,0.913229936,0.811025805,9,65.21174312,1147.743385,206.2982386,15.41798165,14.47948624,1.035384777,1.028568552,0.945179614,0.004058685,0,0.552980357273746,13.4031127988986,0.676627588855199,6.33867672546881,32.2334200326307,animal.Anas_strepera,0.254525911817637,0.664510014996048,-0.968777672101774,-0.991933145960504,2.47962263749713,-1.45663616198839,-0.678562246525709,-0.465822760586904,0.253086678252617,0.43365366571895,1.98559875823312,-1.54295501269066,-0.729568291746379,-0.507511258110164,1,-15.5862344340335,-1.90002368226601,0.709207256426228,-1.51654315309624,-0.971325788189291,0.424175755531368,0,0,1,1.95019681881519,2.852,12.717,4.9,4.459,0.857,0.526,0.507,41.937,33.865,31.9,0.808,0.346,0.385,0.303,12.697,2.152,12.6,0.169,0.399,0.275,1.07e-08,9.86e-09,8.75e-09,0.92,0.776,0.583
NON-PASSERIFORMES,Apus_apus,Apus_apus,Male_Female,Pair,Noncooperative,84,4,38,4,88,42,84,4,38,4,88,42,9.52380952380952,51.75,-1.26,55.66024465,909.3354379,0.531533712,9.777828746,24.9192452,0.565496302,1.071282557,1.022508696,0.801572111,10,55.47471967,882.0468909,106.6755804,11.64159021,17.59457951,0.3805862,1.29201999,0.922817449,0.010641479,0,0.313727886461595,4.99191798810838,0.751994881631518,7.46057937763549,30.1551892366803,animal.Apus_apus,-0.549657047329491,0.753190818793134,0.173339795694385,-0.150989838596353,-0.565356016009308,-0.110644515514496,-0.404910981763185,-0.48376674335532,-0.585563459554802,-0.317452839179601,-0.409815645740452,-0.0798836498399145,-0.332887421653346,-0.558982531365398,1,-5.67524581043577,2.16730939266603,-3.64521698670228,-0.0882394270155546,0.320401010377042,-0.734026721292404,0,1,0,-0.229213412164046,9.668,4.767,9.3,0.493,0.829,0.657,0.449,56.131,28.829,52.1,0.514,0.071,0.411,0.268,8.333,1.989,8.5,0.239,0.699,0.34,1.34e-08,7.67e-09,1.35e-08,0.574,0.806,0.619
NON-PASSERIFORMES,Aquila_heliaca,Aquila_heliaca,Male_Female,Pair,Noncooperative,166,0,86,0,166,86,166,0,86,0,166,86,0,51.52,64.51,20.32782875,109.1579149,0.723514491,3.22087156,224.6646337,0.461182475,0.291262872,0.162100992,0.848473435,8,,,,,,,0.447134314,0.164033789,0.021164494,0,0,14.9888169546499,0.679104170948758,4.50863934574501,10.4478665238411,animal.Aquila_heliaca,-0.97368078942525,0.74654698007218,0.940231739103811,-0.930593815900223,3.36564180628561,-1.4146633108638,-1.02945052894817,-0.594507149160442,1.04573269232426,-1.30236662288884,2.43718960359728,-1.49487823819925,-1.37663051117302,-1.04707124338823,0,-18.0205674121534,-0.706022980951019,2.40060649945134,-1.86736253098264,-0.592128246463173,0.874059065744171,0,0,1,0.564995908093801,4.631,13.816,6.25,2.984,0.876,0.537,0.526,22.473,13.058,19.9,0.581,0.25,0.461,0.215,11.274,2.394,11.15,0.212,0.63,0.321,4.34e-09,4.14e-09,3.52e-09,0.953,0.771,0.633
NON-PASSERIFORMES,Asio_otus,Asio_otus,Male_Female,Pair,Noncooperative,59,0,12,0,59,12,59,0,12,0,59,12,0,47.28,-114.18,32.12255352,345.9683299,0.596531111,6.281727829,77.97566375,0.505153387,1.185607212,1.595630476,0.752703606,10,39.45192661,534.3970917,74.22264533,10.09688073,15.54868807,0.685179069,1.425575415,1.559730119,0.038616315,0,0,8.83038298999539,0.710741434700412,5.66767620105454,18.6002239206952,animal.Asio_otus,-0.97368078942525,0.624069257564152,-1.14333100025806,-0.566666516456685,0.478796579177227,-0.864986462207385,-0.82096571749696,-0.561733819865139,-0.033268550537646,-1.30236662288884,0.683336345326649,-0.880718263906726,-0.966819778177475,-0.845162862439663,0,-10.3570598281586,1.32795051917851,-2.11033879554274,-0.762950362553172,0.0538326397706111,-0.325775337558019,0,1,0,-0.539416260335663,6.124,8.235,6.1,1.345,0.842,0.587,0.507,35.794,20.357,32.25,0.569,0.138,0.426,0.359,13.735,4.303,13.8,0.313,0.735,0.377,2.08e-08,2.24e-08,1.14e-08,1.075,0.643,0.501
